14:00:41.066; 77; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'START'}}}
14:00:41.067; 78; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'OVEN'}}}
14:00:43.317; 79; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'END'}, 'VG1': {'status': 'TO_DESTINATION'}}}
14:00:44.202; 80; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'END'}, 'VG1': {'status': 'RELEASE'}}}
14:00:44.252; 81; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4': ['BLOCKED', 'Line4w']}
14:00:44.252; 82; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4_TO_WH': ['BLOCKED', 'Line4w']}
14:00:44.252; 83; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4_TO_CB5': ['RUNNING', 'Line4w']}
14:00:44.252; 84; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'VG1'}, 'WH': {'status': 'END'}, 'VG1': {'status': 'INIT'}}}
14:00:44.258; 85; MiniFactory/Right/Factory/MachineStatus/Data; {'WH': ['FREE', 'None']}
14:00:44.259; 86; MiniFactory/Right/Factory/MachineStatus/Data; {'WH_STORE': ['FREE', 'None']}
14:00:44.260; 87; MiniFactory/Right/Factory/MachineStatus/Data; {'WH_RETRIEVE': ['FREE', 'None']}
14:00:44.261; 88; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'CB4'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}}}
14:00:47.357; 89; MiniFactory/Right/Factory/MachineStatus/Data; {'CB5': ['RUNNING', 'Line4w']}
14:00:47.410; 90; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB5', 'product_at': 'CB4'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}}}
14:00:47.410; 91; MiniFactory/Right/Factory/MachineStatus/Data; {'GR3': ['RUNNING', 'Line4w']}
14:00:47.410; 92; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB5', 'product_at': 'CB5'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}, 'CB5': {'status': 'RUN'}, 'GR3': {'status': 'INIT'}}}
14:00:47.603; 93; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB5', 'product_at': 'CB5'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}, 'CB5': {'status': 'RUN'}, 'GR3': {'status': 'TO_DESTINATION'}}}
14:00:48.516; 94; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1': ['FREE', 'None']}
14:00:48.574; 95; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1_STORE': ['FREE', 'None']}
14:00:48.574; 96; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['FREE', 'None']}
14:00:48.576; 97; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB5', 'product_at': 'CB5'}, 'CB4': {'status': 'RUN'}, 'CB5': {'status': 'RUN'}, 'GR3': {'status': 'TO_DESTINATION'}}}
14:00:48.625; 98; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4': ['FREE', 'None']}
14:00:48.674; 99; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4_TO_WH': ['FREE', 'None']}
14:00:48.675; 100; MiniFactory/Right/Factory/MachineStatus/Data; {'CB4_TO_CB5': ['FREE', 'None']}
14:00:48.676; 101; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB5', 'product_at': 'CB5'}, 'CB5': {'status': 'RUN'}, 'GR3': {'status': 'TO_DESTINATION'}}}
14:00:49.329; 102; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'TO_TABLE'}}}
14:00:50.442; 103; MiniFactory/Right/Factory/MachineStatus/Data; {'GR1': ['RUNNING', 'Line2s']}
14:00:50.491; 104; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_TABLE'}}}
